model_t,physical_interval,interval_start_min,interval_end_min,source_excel_row,source_label,source_minute,price_yuan_per_kwh,load_kw,pv_kw
1,00:00-00:10,0,10,2,00:10,10,0.4248,3439.8466,0.0
2,00:10-00:20,10,20,3,00:20,20,0.4245,3437.9792,0.0
3,00:20-00:30,20,30,4,00:30,30,0.4269,3444.3031,0.0
4,00:30-00:40,30,40,5,00:40,40,0.4272,3454.4437,0.0
5,00:40-00:50,40,50,6,00:50,50,0.4271,3458.8273,0.0
6,00:50-01:00,50,60,7,01:00,60,0.4285,3459.8401,0.0
7,01:00-01:10,60,70,8,01:10,70,0.4311,3467.1582,0.0
8,01:10-01:20,70,80,9,01:20,80,0.4302,3467.9632,0.0
9,01:20-01:30,80,90,10,01:30,90,0.4279,3466.9683,0.0
10,01:30-01:40,90,100,11,01:40,100,0.4312,3482.4927,0.0
11,01:40-01:50,100,110,12,01:50,110,0.4333,3495.0841,0.0
12,01:50-02:00,110,120,13,02:00,120,0.4311,3498.4443,0.0
13,02:00-02:10,120,130,14,02:10,130,0.4293,3505.2295,0.0
14,02:10-02:20,130,140,15,02:20,140,0.4324,3512.6387,0.0
15,02:20-02:30,140,150,16,02:30,150,0.4367,3516.8685,0.0
16,02:30-02:40,150,160,17,02:40,160,0.4348,3517.9246,0.0
17,02:40-02:50,160,170,18,02:50,170,0.4335,3518.5518,0.0
18,02:50-03:00,170,180,19,03:00,180,0.4357,3521.0976,0.0
19,03:00-03:10,180,190,20,03:10,190,0.4374,3526.9261,0.0
20,03:10-03:20,190,200,21,03:20,200,0.4371,3537.2854,0.0
21,03:20-03:30,200,210,22,03:30,210,0.4356,3544.8808,0.0
22,03:30-03:40,210,220,23,03:40,220,0.4353,3541.2787,0.0
23,03:40-03:50,220,230,24,03:50,230,0.436,3546.3976,0.0
24,03:50-04:00,230,240,25,04:00,240,0.4378,3560.207,0.0
25,04:00-04:10,240,250,26,04:10,250,0.4401,3561.9581,0.0
26,04:10-04:20,250,260,27,04:20,260,0.4389,3556.7183,0.0
27,04:20-04:30,260,270,28,04:30,270,0.4364,3560.0272,0.0
28,04:30-04:40,270,280,29,04:40,280,0.4393,3580.654,0.5994
29,04:40-04:50,280,290,30,04:50,290,0.4422,3586.916,0.2345
30,04:50-05:00,290,300,31,05:00,300,0.4395,3571.2635,0.2885
31,05:00-05:10,300,310,32,05:10,310,0.4333,3562.3171,18.6781
32,05:10-05:20,310,320,33,05:20,320,0.4439,3591.3809,54.4698
33,05:20-05:30,320,330,34,05:30,330,0.4301,3579.7045,108.9718
34,05:30-05:40,330,340,35,05:40,340,0.3713,3486.119,184.1603
35,05:40-05:50,340,350,36,05:50,350,0.5708,3823.8994,277.0582
36,05:50-06:00,350,360,37,06:00,360,0.9099,4398.0727,388.5494
37,06:00-06:10,360,370,38,06:10,370,0.9368,4454.0123,521.2803
38,06:10-06:20,370,380,39,06:20,380,0.8758,4371.7919,672.7677
39,06:20-06:30,380,390,40,06:30,390,0.8759,4392.953,844.2261
40,06:30-06:40,390,400,41,06:40,400,0.8601,4384.5956,1039.6744
41,06:40-06:50,400,410,42,06:50,410,0.8442,4434.7757,1259.3375
42,06:50-07:00,410,420,43,07:00,420,0.8334,4523.4561,1508.6318
43,07:00-07:10,420,430,44,07:10,430,0.8092,4524.0721,1791.4107
44,07:10-07:20,430,440,45,07:20,440,0.7972,4545.8867,2085.4865
45,07:20-07:30,440,450,46,07:30,450,0.7644,4523.2418,2381.2611
46,07:30-07:40,450,460,47,07:40,460,0.6899,4383.3566,2683.1752
47,07:40-07:50,460,470,48,07:50,470,0.86,4910.4599,2986.3552
48,07:50-08:00,470,480,49,08:00,480,1.1617,5799.7327,3289.204
49,08:00-08:10,480,490,50,08:10,490,1.1683,5884.826,3593.3613
50,08:10-08:20,490,500,51,08:20,500,1.0956,5748.0713,3890.7332
51,08:20-08:30,500,510,52,08:30,510,1.0849,5769.0581,4181.3417
52,08:30-08:40,510,520,53,08:40,520,1.061,5754.2105,4471.7657
53,08:40-08:50,520,530,54,08:50,530,1.043,5824.1807,4752.8272
54,08:50-09:00,530,540,55,09:00,540,1.036,5954.2601,5021.9074
55,09:00-09:10,540,550,56,09:10,550,1.0147,5958.9696,5285.4126
56,09:10-09:20,550,560,57,09:20,560,0.9922,5929.5554,5543.1742
57,09:20-09:30,560,570,58,09:30,570,0.97,5923.7828,5788.4093
58,09:30-09:40,570,580,59,09:40,580,0.9422,5907.586,6012.1304
59,09:40-09:50,580,590,60,09:50,590,0.9569,5899.1262,6216.1528
60,09:50-10:00,590,600,61,10:00,600,0.9977,5902.2196,6409.5941
61,10:00-10:10,600,610,62,10:10,610,0.9919,5897.4793,6599.3808
62,10:10-10:20,610,620,63,10:20,620,0.9588,5886.7568,6766.7204
63,10:20-10:30,620,630,64,10:30,630,0.9549,5873.4708,6914.5923
64,10:30-10:40,630,640,65,10:40,640,0.9839,5858.0308,7064.2053
65,10:40-10:50,640,650,66,10:50,650,0.799,5844.9948,7197.4315
66,10:50-11:00,650,660,67,11:00,660,0.5025,5839.0587,7303.1142
67,11:00-11:10,660,670,68,11:10,670,0.4662,5838.7103,7387.6848
68,11:10-11:20,670,680,69,11:20,680,0.5007,5823.4378,7459.227
69,11:20-11:30,680,690,70,11:30,690,0.4827,5814.7932,7520.7191
70,11:30-11:40,690,700,71,11:40,700,0.4785,5832.3951,7568.2039
71,11:40-11:50,700,710,72,11:50,710,0.4662,5712.901,7592.1539
72,11:50-12:00,710,720,73,12:00,720,0.4432,5519.4607,7601.0433
73,12:00-12:10,720,730,74,12:10,730,0.4411,5494.7907,7612.316
74,12:10-12:20,730,740,75,12:20,740,0.4551,5514.4524,7602.6524
75,12:20-12:30,740,750,76,12:30,750,0.4463,5485.829,7554.1872
76,12:30-12:40,750,760,77,12:40,760,0.4113,5462.3628,7472.7384
77,12:40-12:50,760,770,78,12:50,770,0.5682,5566.1066,7393.4172
78,12:50-13:00,770,780,79,13:00,780,0.8279,5725.7548,7312.7979
79,13:00-13:10,780,790,80,13:10,790,0.8636,5739.4957,7194.541
80,13:10-13:20,790,800,81,13:20,800,0.8416,5714.6836,7053.1371
81,13:20-13:30,800,810,82,13:30,810,0.8618,5717.8505,6910.4064
82,13:30-13:40,810,820,83,13:40,820,0.8623,5708.2486,6772.4075
83,13:40-13:50,820,830,84,13:50,830,0.9026,5696.9182,6607.36
84,13:50-14:00,830,840,85,14:00,840,0.9754,5692.2983,6412.5085
85,14:00-14:10,840,850,86,14:10,850,1.0002,5687.1291,6214.0158
86,14:10-14:20,850,860,87,14:20,860,0.9978,5678.962,6000.7112
87,14:20-14:30,860,870,88,14:30,870,1.0271,5669.4508,5766.9816
88,14:30-14:40,870,880,89,14:40,880,1.0906,5664.1948,5521.5066
89,14:40-14:50,880,890,90,14:50,890,0.9376,5672.7011,5268.781
90,14:50-15:00,890,900,91,15:00,900,0.6694,5682.2544,5009.7152
91,15:00-15:10,900,910,92,15:10,910,0.66,5669.0195,4743.4484
92,15:10-15:20,910,920,93,15:20,920,0.7217,5656.3651,4471.224
93,15:20-15:30,920,930,94,15:30,930,0.7308,5657.0867,4188.2025
94,15:30-15:40,930,940,95,15:40,940,0.7534,5662.6008,3889.3931
95,15:40-15:50,940,950,96,15:50,950,0.7823,5669.2596,3594.5946
96,15:50-16:00,950,960,97,16:00,960,0.8055,5673.4767,3303.8878
97,16:00-16:10,960,970,98,16:10,970,0.8271,5671.0146,2998.4247
98,16:10-16:20,970,980,99,16:20,980,0.8519,5661.5926,2687.4131
99,16:20-16:30,980,990,100,16:30,990,0.8791,5665.8922,2383.1779
100,16:30-16:40,990,1000,101,16:40,1000,0.9024,5689.0372,2089.1246
