model_t,physical_interval,price_yuan_per_kwh,grid_kw,grid_kwh,pv_used_kw,charge_kw,charge_kwh,discharge_kw,discharge_kwh
1,00:00-00:10,0.4248,8439.8466,1406.6411,0.0,5000.0,833.3333333333333,0.0,0.0
2,00:10-00:20,0.4245,8437.9792,1406.3298666666665,0.0,5000.0,833.3333333333333,0.0,0.0
3,00:20-00:30,0.4269,8444.303100000001,1407.3838500000002,0.0,5000.0,833.3333333333333,0.0,0.0
4,00:30-00:40,0.4272,8454.4437,1409.07395,0.0,5000.0,833.3333333333333,0.0,0.0
5,00:40-00:50,0.4271,8458.8273,1409.80455,0.0,5000.0,833.3333333333333,0.0,0.0
6,00:50-01:00,0.4285,3459.8401,576.6400166666666,0.0,0.0,0.0,0.0,0.0
7,01:00-01:10,0.4311,3467.1582,577.8597,0.0,0.0,0.0,0.0,0.0
8,01:10-01:20,0.4302,3467.9632,577.9938666666667,0.0,0.0,0.0,0.0,0.0
9,01:20-01:30,0.4279,5466.9683,911.1613833333333,0.0,2000.0,333.3333333333333,0.0,0.0
10,01:30-01:40,0.4312,3482.4927,580.41545,0.0,0.0,0.0,0.0,0.0
11,01:40-01:50,0.4333,3495.0841,582.5140166666666,0.0,0.0,0.0,0.0,0.0
12,01:50-02:00,0.4311,3498.4443,583.0740499999999,0.0,0.0,0.0,0.0,0.0
13,02:00-02:10,0.4293,3505.2295,584.2049166666666,0.0,0.0,0.0,0.0,0.0
14,02:10-02:20,0.4324,3512.6387,585.4397833333333,0.0,0.0,0.0,0.0,0.0
15,02:20-02:30,0.4367,3516.8685,586.1447499999999,0.0,0.0,0.0,0.0,0.0
16,02:30-02:40,0.4348,3517.9246,586.3207666666666,0.0,0.0,0.0,0.0,0.0
17,02:40-02:50,0.4335,3518.5518,586.4253,0.0,0.0,0.0,0.0,0.0
18,02:50-03:00,0.4357,3521.0976,586.8496,0.0,0.0,0.0,0.0,0.0
19,03:00-03:10,0.4374,3526.9261,587.8210166666667,0.0,0.0,0.0,0.0,0.0
20,03:10-03:20,0.4371,3537.2854,589.5475666666666,0.0,0.0,0.0,0.0,0.0
21,03:20-03:30,0.4356,3544.8808,590.8134666666666,0.0,0.0,0.0,0.0,0.0
22,03:30-03:40,0.4353,3541.2787,590.2131166666666,0.0,0.0,0.0,0.0,0.0
23,03:40-03:50,0.436,3546.3976,591.0662666666666,0.0,0.0,0.0,0.0,0.0
24,03:50-04:00,0.4378,3560.207,593.3678333333332,0.0,0.0,0.0,0.0,0.0
25,04:00-04:10,0.4401,3561.9581,593.6596833333333,0.0,0.0,0.0,0.0,0.0
26,04:10-04:20,0.4389,3556.7183,592.7863833333333,0.0,0.0,0.0,0.0,0.0
27,04:20-04:30,0.4364,3560.0272,593.3378666666666,0.0,0.0,0.0,0.0,0.0
28,04:30-04:40,0.4393,3580.0546,596.6757666666666,0.5994,0.0,0.0,0.0,0.0
29,04:40-04:50,0.4422,3586.6815,597.78025,0.2345,0.0,0.0,0.0,0.0
30,04:50-05:00,0.4395,3570.975,595.1624999999999,0.2885,0.0,0.0,0.0,0.0
31,05:00-05:10,0.4333,3543.639,590.6065,18.6781,0.0,0.0,0.0,0.0
32,05:10-05:20,0.4439,3536.9111000000003,589.4851833333333,54.4698,0.0,0.0,0.0,0.0
33,05:20-05:30,0.4301,3470.7327,578.4554499999999,108.9718,0.0,0.0,0.0,0.0
34,05:30-05:40,0.3713,8301.958700000001,1383.6597833333335,184.1603,5000.0,833.3333333333333,0.0,0.0
35,05:40-05:50,0.5708,3546.8412,591.1401999999999,277.0582,0.0,0.0,-0.0,-0.0
36,05:50-06:00,0.9099,0.0,0.0,388.5494,0.0,0.0,4009.5233,668.2538833333333
37,06:00-06:10,0.9368,0.0,0.0,521.2803,0.0,0.0,3932.7320000000004,655.4553333333333
38,06:10-06:20,0.8758,0.0,0.0,672.7677,0.0,0.0,3699.0242000000003,616.5040333333334
39,06:20-06:30,0.8759,0.0,0.0,844.2261,0.0,0.0,3548.7269000000006,591.4544833333334
40,06:30-06:40,0.8601,0.0,0.0,1039.6744,0.0,0.0,3344.9211999999998,557.4868666666666
41,06:40-06:50,0.8442,0.0,0.0,1259.3375,0.0,0.0,3175.4382,529.2397
42,06:50-07:00,0.8334,0.0,0.0,1508.6318,0.0,0.0,3014.8243,502.4707166666667
43,07:00-07:10,0.8092,0.0,0.0,1791.4107,0.0,0.0,2732.6614000000004,455.4435666666667
44,07:10-07:20,0.7972,0.0,0.0,2085.4865,0.0,0.0,2460.4002,410.06669999999997
45,07:20-07:30,0.7644,0.0,0.0,2381.2611,0.0,0.0,2141.9806999999996,356.99678333333327
46,07:30-07:40,0.6899,0.0,0.0,2683.1752,0.0,0.0,1700.1814,283.36356666666666
47,07:40-07:50,0.86,0.0,0.0,2986.3552,0.0,0.0,1924.1046999999999,320.6841166666666
48,07:50-08:00,1.1617,0.0,0.0,3289.204,0.0,0.0,2510.5286999999994,418.4214499999999
49,08:00-08:10,1.1683,0.0,0.0,3593.3613,0.0,0.0,2291.4647,381.9107833333333
50,08:10-08:20,1.0956,0.0,0.0,3890.7332,0.0,0.0,1857.3380999999995,309.5563499999999
51,08:20-08:30,1.0849,0.0,0.0,4181.3417,0.0,0.0,1587.7164000000002,264.61940000000004
52,08:30-08:40,1.061,0.0,0.0,4471.7657,0.0,0.0,1282.4448000000002,213.74080000000004
53,08:40-08:50,1.043,0.0,0.0,4752.8272,0.0,0.0,1071.3535000000002,178.55891666666668
54,08:50-09:00,1.036,0.0,0.0,5021.9074,0.0,0.0,932.3527000000004,155.3921166666667
55,09:00-09:10,1.0147,0.0,0.0,5285.4126,0.0,0.0,673.5570000000007,112.25950000000012
56,09:10-09:20,0.9922,0.0,0.0,5543.1742,0.0,0.0,386.3811999999998,64.39686666666663
57,09:20-09:30,0.97,0.0,0.0,5788.4093,0.0,0.0,135.3734999999997,22.56224999999995
58,09:30-09:40,0.9422,0.0,0.0,6012.1304,104.54439999999977,17.424066666666626,0.0,0.0
59,09:40-09:50,0.9569,0.0,0.0,6216.1528,317.02660000000014,52.83776666666669,0.0,0.0
60,09:50-10:00,0.9977,0.0,0.0,6409.5941,507.3744999999999,84.56241666666665,0.0,0.0
61,10:00-10:10,0.9919,0.0,0.0,6599.3808,701.9014999999999,116.98358333333331,0.0,0.0
62,10:10-10:20,0.9588,0.0,0.0,6766.7204,879.9636,146.6606,0.0,0.0
63,10:20-10:30,0.9549,0.0,0.0,6914.5923,1041.1215000000002,173.52025000000003,0.0,0.0
64,10:30-10:40,0.9839,0.0,0.0,7064.2053,1206.1744999999992,201.02908333333318,0.0,0.0
65,10:40-10:50,0.799,0.0,0.0,7197.4315,1352.4366999999993,225.40611666666655,0.0,0.0
66,10:50-11:00,0.5025,0.0,0.0,7303.1142,1464.0555000000004,244.00925000000007,0.0,0.0
67,11:00-11:10,0.4662,3451.0254999999997,575.1709166666666,7387.6848,5000.0,833.3333333333333,0.0,0.0
68,11:10-11:20,0.5007,0.0,0.0,7459.227,1635.7892000000002,272.6315333333333,0.0,0.0
69,11:20-11:30,0.4827,0.0,0.0,7520.7191,1705.9259000000002,284.32098333333334,0.0,0.0
70,11:30-11:40,0.4785,1075.6630283950963,179.2771713991827,7568.2039,2811.471828395097,468.5786380658495,0.0,0.0
71,11:40-11:50,0.4662,3120.7470999999996,520.1245166666665,7592.1539,5000.0,833.3333333333333,0.0,0.0
72,11:50-12:00,0.4432,2918.4173999999994,486.4028999999999,7601.0433,5000.0,833.3333333333333,0.0,0.0
73,12:00-12:10,0.4411,2882.4746999999998,480.4124499999999,7612.316,5000.0,833.3333333333333,0.0,0.0
74,12:10-12:20,0.4551,2911.8,485.3,7602.6524,5000.0,833.3333333333333,0.0,0.0
75,12:20-12:30,0.4463,2931.6417999999994,488.60696666666655,7554.1872,5000.0,833.3333333333333,0.0,0.0
76,12:30-12:40,0.4113,2989.6243999999997,498.2707333333333,7472.7384,5000.0,833.3333333333333,0.0,0.0
77,12:40-12:50,0.5682,0.0,0.0,7393.4172,1827.3105999999998,304.5517666666666,0.0,0.0
78,12:50-13:00,0.8279,0.0,0.0,7312.7979,1587.0430999999999,264.5071833333333,0.0,0.0
79,13:00-13:10,0.8636,0.0,0.0,7194.541,1455.0452999999998,242.50754999999995,0.0,0.0
80,13:10-13:20,0.8416,0.0,0.0,7053.1371,1338.4534999999996,223.07558333333327,0.0,0.0
81,13:20-13:30,0.8618,0.0,0.0,6910.4064,1192.5559000000003,198.7593166666667,0.0,0.0
82,13:30-13:40,0.8623,0.0,0.0,6772.4075,1064.1589000000004,177.35981666666672,0.0,0.0
83,13:40-13:50,0.9026,0.0,0.0,6607.36,910.4417999999996,151.74029999999993,0.0,0.0
84,13:50-14:00,0.9754,0.0,0.0,6412.5085,720.2101999999995,120.03503333333325,0.0,0.0
85,14:00-14:10,1.0002,0.0,0.0,6214.0158,526.8867,87.81445,0.0,0.0
86,14:10-14:20,0.9978,0.0,0.0,6000.7112,321.7491999999993,53.62486666666655,0.0,0.0
87,14:20-14:30,1.0271,0.0,0.0,5766.9816,97.53080000000045,16.255133333333408,0.0,0.0
88,14:30-14:40,1.0906,0.0,0.0,5521.5066,0.0,0.0,142.6882000000005,23.78136666666675
89,14:40-14:50,0.9376,0.0,0.0,5268.781,0.0,0.0,403.9201000000003,67.3200166666667
90,14:50-15:00,0.6694,672.5392000000002,112.0898666666667,5009.7152,0.0,0.0,0.0,0.0
91,15:00-15:10,0.66,1600.3961617283946,266.7326936213991,4743.4484,674.8250617283945,112.47084362139908,0.0,0.0
92,15:10-15:20,0.7217,1185.1410999999998,197.52351666666664,4471.224,0.0,0.0,0.0,0.0
93,15:20-15:30,0.7308,1468.8841999999995,244.81403333333324,4188.2025,0.0,0.0,0.0,0.0
94,15:30-15:40,0.7534,1773.2077000000004,295.5346166666667,3889.3931,0.0,0.0,0.0,0.0
95,15:40-15:50,0.7823,2074.6650000000004,345.77750000000003,3594.5946,0.0,0.0,0.0,0.0
96,15:50-16:00,0.8055,2369.5889,394.93148333333335,3303.8878,0.0,0.0,0.0,0.0
97,16:00-16:10,0.8271,2672.5899000000004,445.43165000000005,2998.4247,0.0,0.0,-0.0,-0.0
98,16:10-16:20,0.8519,2974.1794999999997,495.69658333333325,2687.4131,0.0,0.0,-0.0,-0.0
99,16:20-16:30,0.8791,3282.7143,547.11905,2383.1779,0.0,0.0,-0.0,-0.0
100,16:30-16:40,0.9024,3599.9125999999997,599.9854333333333,2089.1246,0.0,0.0,-0.0,-0.0
101,16:40-16:50,0.9163,3812.5784999999996,635.4297499999999,1791.0829,0.0,0.0,-0.0,-0.0
102,16:50-17:00,0.9264,3964.9841000000006,660.8306833333334,1501.7283,0.0,0.0,-0.0,-0.0
103,17:00-17:10,0.9462,4212.2216,702.0369333333333,1255.1723,0.0,0.0,-0.0,-0.0
104,17:10-17:20,0.9742,4428.3947,738.0657833333332,1036.3323,0.0,0.0,-0.0,-0.0
105,17:20-17:30,0.9862,4655.6683,775.9447166666666,836.7775,0.0,0.0,-0.0,-0.0
106,17:30-17:40,0.976,4956.4995,826.0832499999999,665.2313,0.0,0.0,0.0,0.0
107,17:40-17:50,1.0742,4574.5368,762.4227999999999,516.6758,0.0,0.0,-0.0,-0.0
108,17:50-18:00,1.2313,3821.8957,636.9826166666667,386.6731,0.0,0.0,-0.0,-0.0
109,18:00-18:10,1.2561,3191.3642999999993,531.8940499999999,275.7933,0.0,0.0,655.6035000000004,109.26725000000006
110,18:10-18:20,1.2447,4072.9832,678.8305333333333,182.9526,0.0,0.0,0.0,0.0
111,18:20-18:30,1.2545,4117.611,686.2684999999999,108.3414,0.0,0.0,0.0,0.0
112,18:30-18:40,1.2522,4179.0262999999995,696.5043833333332,54.3121,0.0,0.0,0.0,0.0
113,18:40-18:50,1.2881,0.0,0.0,18.6569,0.0,0.0,4227.8056,704.6342666666666
114,18:50-19:00,1.3466,0.0,0.0,0.2753,0.0,0.0,4238.9042,706.4840333333333
115,19:00-19:10,1.3523,0.0,0.0,0.2296,0.0,0.0,4244.4388,707.4064666666666
116,19:10-19:20,1.3445,0.0,0.0,0.6007,0.0,0.0,4251.318,708.553
117,19:20-19:30,1.3483,0.0,0.0,0.0,0.0,0.0,4256.6813,709.4468833333333
118,19:30-19:40,1.349,0.0,0.0,0.0,0.0,0.0,4267.3947,711.23245
119,19:40-19:50,1.3473,0.0,0.0,0.0,0.0,0.0,4269.975,711.6625
120,19:50-20:00,1.3482,0.0,0.0,0.0,0.0,0.0,4268.6702,711.4450333333332
121,20:00-20:10,1.3513,0.0,0.0,0.0,0.0,0.0,4282.2245,713.7040833333333
122,20:10-20:20,1.34,0.0,0.0,0.0,0.0,0.0,4291.7049,715.28415
123,20:20-20:30,1.3489,0.0,0.0,0.0,0.0,0.0,4291.3611,715.22685
124,20:30-20:40,1.3952,0.0,0.0,0.0,0.0,0.0,4293.9182,715.6530333333333
125,20:40-20:50,1.2226,4295.2135,715.8689166666666,0.0,0.0,0.0,-0.0,-0.0
126,20:50-21:00,0.9332,4302.0307,717.0051166666667,0.0,0.0,0.0,0.0,0.0
127,21:00-21:10,0.9068,4320.9618,720.1603,0.0,0.0,0.0,0.0,0.0
128,21:10-21:20,0.9371,4302.3292,717.0548666666666,0.0,0.0,0.0,0.0,0.0
129,21:20-21:30,0.9371,4322.6758,720.4459666666667,0.0,0.0,0.0,0.0,0.0
130,21:30-21:40,0.9871,4428.8083,738.1347166666666,0.0,0.0,0.0,-0.0,-0.0
131,21:40-21:50,0.7764,4030.1614,671.6935666666666,0.0,-0.0,-0.0,0.0,0.0
132,21:50-22:00,0.4209,8362.7419,1393.7903166666667,0.0,5000.0,833.3333333333333,0.0,0.0
133,22:00-22:10,0.3859,8309.3934,1384.8989000000001,0.0,5000.0,833.3333333333333,0.0,0.0
134,22:10-22:20,0.4368,3412.9563,568.8260499999999,0.0,0.0,0.0,0.0,0.0
135,22:20-22:30,0.4198,8381.9313,1396.98855,0.0,5000.0,833.3333333333333,0.0,0.0
136,22:30-22:40,0.4186,8386.5592,1397.7598666666665,0.0,5000.0,833.3333333333333,0.0,0.0
137,22:40-22:50,0.4241,3400.4846,566.7474333333332,0.0,0.0,0.0,0.0,0.0
138,22:50-23:00,0.4237,8399.2426,1399.8737666666666,0.0,5000.0,833.3333333333333,0.0,0.0
139,23:00-23:10,0.4248,3406.9809,567.83015,0.0,0.0,0.0,0.0,0.0
140,23:10-23:20,0.424,5416.1518,902.6919666666665,0.0,2000.0,333.3333333333333,0.0,0.0
141,23:20-23:30,0.422,8421.9811,1403.6635166666667,0.0,5000.0,833.3333333333333,0.0,0.0
142,23:30-23:40,0.424,3429.6923,571.6153833333333,0.0,0.0,0.0,0.0,0.0
143,23:40-23:50,0.4271,3439.061,573.1768333333333,0.0,0.0,0.0,0.0,0.0
144,23:50-24:00,0.4276,3444.7259,574.1209833333332,0.0,0.0,0.0,0.0,0.0
